state,population
Florida,263148
Florida,27785
Florida,182482
Florida,26979
Florida,576808
Florida,1909151
Florida,14444
Florida,176954
Florida,143087
Florida,207291
Florida,363922
Florida,69105
Florida,36399
Florida,16437
Florida,924229
Florida,311522
Florida,107139
Florida,11736
Florida,46017
Florida,17615
Florida,13363
Florida,16055
Florida,14269
Florida,27228
Florida,40127
Florida,182696
Florida,102101
Florida,1378883
Florida,19430
Florida,150984
Florida,48472
Florida,14105
Florida,8744
Florida,335362
Florida,718679
Florida,288102
Florida,39961
Florida,8365
Florida,18474
Florida,373853
Florida,348371
Florida,157581
Florida,2715516
Florida,76325
Florida,80578
Florida,200737
Florida,40572
Florida,1321194
Florida,338619
Florida,1446277
Florida,510593
Florida,957875
Florida,668671
Florida,72766
Florida,235503
Florida,305591
Florida,170442
Florida,412144
Florida,455086
Florida,120999
Florida,43924
Florida,22098
Florida,15239
Florida,527634
Florida,31877
Florida,65858
Florida,24566
Georgia,18454
Georgia,8265
Georgia,11228
Georgia,3189
Georgia,45286
Georgia,18510
Georgia,76887
Georgia,103620
Georgia,17154
Georgia,19025
Georgia,153490
Georgia,12775
Georgia,18561
Georgia,15622
Georgia,35885
Georgia,74782
Georgia,22550
Georgia,23750
Georgia,6428
Georgia,52714
Georgia,10827
Georgia,116022
Georgia,66299
Georgia,12983
Georgia,287049
Georgia,10767
Georgia,24817
Georgia,241910
Georgia,124602
Georgia,3001
Georgia,278666
Georgia,6743
Georgia,745057
Georgia,42961
Georgia,45606
Georgia,147295
Georgia,17184
Georgia,140516
Georgia,12344
Georgia,22846
Georgia,16227
Georgia,23861
Georgia,26833
Georgia,743187
Georgia,20919
Georgia,13905
Georgia,91049
Georgia,141840
Georgia,10348
Georgia,3994
Georgia,58689
Georgia,19212
Georgia,22499
Georgia,10727
Georgia,24925
Georgia,111369
Georgia,96824
Georgia,219880
Georgia,22514
Georgia,1021902
Georgia,29922
Georgia,3009
Georgia,83974
Georgia,56790
Georgia,24926
Georgia,16976
Georgia,902298
Georgia,44289
Georgia,195961
Georgia,8535
Georgia,28956
Georgia,33590
Georgia,25631
Georgia,11677
Georgia,221307
Georgia,151682
Georgia,9268
Georgia,65755
Georgia,13784
Georgia,14991
Georgia,15772
Georgia,8827
Georgia,9730
Georgia,28548
Georgia,18513
Georgia,10366
Georgia,47418
Georgia,29348
Georgia,62108
Georgia,7799
Georgia,18156
Georgia,114582
Georgia,31951
Georgia,21498
Georgia,14120
Georgia,13480
Georgia,28900
Georgia,8484
Georgia,21113
Georgia,5836
Georgia,22432
Georgia,27010
Georgia,9036
Georgia,18235
Georgia,39557
Georgia,196670
Georgia,106497
Georgia,37017
Georgia,14784
Georgia,155840
Georgia,26966
Georgia,30832
Georgia,19164
Georgia,18082
Georgia,41621
Georgia,11295
Georgia,21503
Georgia,2276
Georgia,16457
Georgia,7087
Georgia,201463
Georgia,89011
Georgia,5211
Georgia,13990
Georgia,8437
Georgia,64719
Georgia,25676
Georgia,6042
Georgia,30352
Georgia,6378
Georgia,1665
Georgia,25353
Georgia,8193
Georgia,16115
Georgia,8859
Georgia,44730
Georgia,40510
Georgia,27048
Georgia,11417
Georgia,6777
Georgia,69774
Georgia,7962
Georgia,8284
Georgia,22775
Georgia,26216
Georgia,68824
Georgia,90132
Georgia,35599
Georgia,5346
Georgia,20461
Georgia,29767
Georgia,2613
Georgia,7939
Georgia,28928
Georgia,103849
Georgia,8846
Georgia,9884
Georgia,9078
Georgia,20656
New York,307426
New York,47025
New York,1437872
New York,194402
New York,77686
New York,77868
New York,129656
New York,85740
New York,48348
New York,80794
New York,60919
New York,48123
New York,45502
New York,293894
New York,919866
New York,37751
New York,50692
New York,53743
New York,58112
New York,47617
New York,4575
New York,62505
New York,114448
New York,2600747
New York,26719
New York,63907
New York,71359
New York,744248
New York,49426
New York,1356564
New York,1632480
New York,211704
New York,230782
New York,464242
New York,109472
New York,378227
New York,41175
New York,119104
New York,60244
New York,99070
New York,2298513
New York,159431
New York,474101
New York,323686
New York,109558
New York,227377
New York,154883
New York,31364
New York,17992
New York,34612
New York,96927
New York,1487901
New York,75211
New York,49045
New York,102962
New York,179303
New York,64480
New York,61828
New York,90856
New York,968815
New York,40565
New York,25009
Texas,57863
Texas,17818
Texas,87607
Texas,24763
Texas,8789
Texas,1916
Texas,48828
Texas,29565
Texas,7092
Texas,21763
Texas,82577
Texas,3591
Texas,32691
Texas,342236
Texas,1925865
Texas,11279
Texas,665
Texas,18122
Texas,93858
Texas,353999
Texas,219193
Texas,9216
Texas,1546
Texas,7180
Texas,37834
Texas,17863
Texas,45750
Texas,41401
Texas,21807
Texas,13770
Texas,421750
Texas,12813
Texas,6032
Texas,30087
Texas,7787
Texas,40292
Texas,51903
Texas,7226
Texas,10387
Texas,2904
Texas,3275
Texas,8391
Texas,944350
Texas,2996
Texas,21022
Texas,135097
Texas,13495
Texas,4233
Texas,39571
Texas,75389
Texas,1623
Texas,4839
Texas,3633
Texas,5861
Texas,2241
Texas,7243
Texas,2586552
Texas,12964
Texas,18899
Texas,5215
Texas,807047
Texas,20435
Texas,2216
Texas,10663
Texas,3387
Texas,11355
Texas,18270
Texas,158342
Texas,2055
Texas,168838
Texas,837654
Texas,41482
Texas,17299
Texas,34175
Texas,25066
Texas,3883
Texas,5872
Texas,1408
Texas,739342
Texas,10679
Texas,19709
Texas,19394
Texas,20321
Texas,327089
Texas,6288
Texas,26208
Texas,1430
Texas,7531
Texas,20667
Texas,22685
Texas,128560
Texas,123494
Texas,27630
Texas,155137
Texas,34113
Texas,3074
Texas,8269
Texas,5547
Texas,3952
Texas,56379
Texas,4602523
Texas,66645
Texas,5767
Texas,5809
Texas,204150
Texas,4061
Texas,80460
Texas,849389
Texas,35399
Texas,23162
Texas,56901
Texas,36240
Texas,22955
Texas,36667
Texas,4098
Texas,92152
Texas,21571
Texas,1524
Texas,8842
Texas,14820
Texas,35504
Texas,2234
Texas,255210
Texas,5282
Texas,41192
Texas,163475
Texas,19891
Texas,15387
Texas,118910
Texas,41982
Texas,595
Texas,749
Texas,51365
Texas,4408
Texas,228
Texas,3675
Texas,31425
Texas,3733
Texas,49532
Texas,13262
Texas,20640
Texas,7409
Texas,19941
Texas,16952
Texas,17098
Texas,81862
Texas,23515
Texas,3469
Texas,12123
Texas,20640
Texas,102
Texas,301454
Texas,5808
Texas,8098
Texas,248429
Texas,662
Texas,14128
Texas,10083
Texas,5614
Texas,4161
Texas,36743
Texas,57970
Texas,49334
Texas,2123
Texas,164194
Texas,24664
Texas,4902
Texas,8558
Texas,19409
Texas,554445
Texas,21801
Texas,12424
Texas,1156
Texas,65558
Texas,48583
Texas,14057
Texas,14966
Texas,360486
Texas,10348
Texas,2090
Texas,84047
Texas,28317
Texas,23440
Texas,129802
Texas,9852
Texas,15797
Texas,47837
Texas,120899
Texas,7123
Texas,11473
Texas,132475
Texas,3752
Texas,3389
Texas,12275
Texas,15125
Texas,7236
Texas,885
Texas,16890
Texas,93642
Texas,10310
Texas,53595
Texas,10458
Texas,8327
Texas,27819
Texas,67046
Texas,5962
Texas,3061
Texas,17239
Texas,3311
Texas,25478
Texas,3058
Texas,225015
Texas,8743
Texas,63894
Texas,9372
Texas,1141
Texas,1385
Texas,3865
Texas,7484
Texas,2019977
Texas,136348
Texas,862
Texas,12615
Texas,1567
Texas,32730
Texas,117466
Texas,1203166
Texas,14569
Texas,21496
Texas,40769
Texas,3634
Texas,27009
Texas,49027
Texas,54368
Texas,91970
Texas,71539
Texas,49987
Texas,11586
Texas,34796
Texas,272053
Texas,41551
Texas,5482
Texas,131818
Texas,12906
Texas,21754
Texas,527057
Texas,48198
Texas,7802
Texas,64639
Texas,43815
Texas,8571
Texas,18114
Texas,14369
Texas,12131
Washington,19452
Washington,22337
Washington,194168
Washington,75757
Washington,74487
Washington,465384
Washington,4001
Washington,105112
Washington,41371
Washington,7576
Washington,90660
Washington,2224
Washington,94860
Washington,71967
Washington,81636
Washington,30856
Washington,2163257
Washington,262475
Washington,44825
Washington,21396
Washington,76947
Washington,10435
Washington,62627
Washington,41638
Washington,21281
Washington,13219
Washington,859840
Washington,16473
Washington,123907
Washington,11620
Washington,786620
Washington,497875
Washington,44214
Washington,274684
Washington,4189
Washington,60236
Washington,216812
Washington,48593
Washington,249325
